,Unnamed: 0,Date,Permit Number,Status,Permit Type,County,State
5012,4586.0,2016-10-24,B201607762,Final,Residential Pools and Spas,maricopa,AZ
5013,4587.0,2016-10-24,B201607761,Final,Residential Pools and Spas,maricopa,AZ
5014,4588.0,2016-10-21,B201607742,Final,Residential Pools and Spas,maricopa,AZ
5015,4589.0,2016-10-21,B201607730,Final,Residential Pools and Spas,maricopa,AZ
5016,4590.0,2016-10-20,B201607704,QC OTC,Residential Pools and Spas,maricopa,AZ
5017,4591.0,2016-10-18,B201607647,Final,Residential Pools and Spas,maricopa,AZ
5018,4592.0,2016-10-17,B201607576,Final,Residential Pools and Spas,maricopa,AZ
5019,4593.0,2016-10-17,B201607566,Final,Residential Pools and Spas,maricopa,AZ
5020,4594.0,2016-10-14,B201607541,Final,Residential Pools and Spas,maricopa,AZ
5021,4595.0,2016-10-14,B201607518,Final,Residential Pools and Spas,maricopa,AZ
5022,4596.0,2016-10-14,B201607517,Final,Residential Pools and Spas,maricopa,AZ
5023,4597.0,2016-10-13,B201607498,Final,Residential Pools and Spas,maricopa,AZ
5024,4598.0,2016-10-11,B201607442,Final,Residential Pools and Spas,maricopa,AZ
5025,4599.0,2016-10-11,B201607433,Final,Residential Pools and Spas,maricopa,AZ
5026,4600.0,2016-10-11,B201607418,Final,Residential Pools and Spas,maricopa,AZ
5027,4601.0,2016-10-11,B201607417,Final,Residential Pools and Spas,maricopa,AZ
5028,4602.0,2016-10-10,B201607408,Final,Residential Pools and Spas,maricopa,AZ
5029,4603.0,2016-10-07,B201607364,Final,Residential Pools and Spas,maricopa,AZ
5030,4604.0,2016-10-07,B201607363,Final,Residential Pools and Spas,maricopa,AZ
5031,4605.0,2016-10-06,B201607343,Final,Residential Pools and Spas,maricopa,AZ
5032,4606.0,2016-10-06,B201607336,Final,Residential Pools and Spas,maricopa,AZ
5033,4607.0,2016-10-05,B201607312,Final,Residential Pools and Spas,maricopa,AZ
5034,4608.0,2016-10-05,B201607308,Final,Residential Pools and Spas,maricopa,AZ
5035,4609.0,2016-10-05,B201607300,QC OTC,Residential Pools and Spas,maricopa,AZ
5036,4610.0,2016-10-05,B201607298,Final,Residential Pools and Spas,maricopa,AZ
5037,4611.0,2016-10-05,B201607297,Final,Residential Pools and Spas,maricopa,AZ
5038,4612.0,2016-10-05,B201607295,Final,Residential Pools and Spas,maricopa,AZ
5039,4613.0,2016-10-05,B201607282,Final,Residential Pools and Spas,maricopa,AZ
5040,4614.0,2016-10-05,B201607277,Issued,Residential Pools and Spas,maricopa,AZ
5041,4615.0,2016-10-05,B201607274,Final,Residential Pools and Spas,maricopa,AZ
5042,4616.0,2016-10-04,B201607269,Terminate,Residential Pools and Spas,maricopa,AZ
5043,4617.0,2016-10-04,B201607248,Final,Residential Pools and Spas,maricopa,AZ
5044,4618.0,2016-10-03,B201607227,Final,Residential Pools and Spas,maricopa,AZ
5045,4619.0,2016-10-03,B201607225,Final,Residential Pools and Spas,maricopa,AZ
5046,4620.0,2016-10-03,B201607224,Final,Residential Pools and Spas,maricopa,AZ
5047,4621.0,2016-09-29,B201607155,Final,Residential Pools and Spas,maricopa,AZ
5048,4622.0,2016-09-29,B201607153,Issued,Residential Pools and Spas,maricopa,AZ
5049,4623.0,2016-09-28,B201607112,Final,Residential Pools and Spas,maricopa,AZ
5050,4624.0,2016-09-27,B201607076,QC OTC,Residential Pools and Spas,maricopa,AZ
5051,4625.0,2016-09-23,B201607041,Final,Residential Pools and Spas,maricopa,AZ
5052,4626.0,2016-09-23,B201607039,Reissued,Residential Pools and Spas,maricopa,AZ
5053,4627.0,2016-09-23,B201607036,Final,Residential Pools and Spas,maricopa,AZ
5054,4628.0,2016-09-22,B201607008,Final,Residential Pools and Spas,maricopa,AZ
5055,4629.0,2016-09-22,B201606984,Final,Residential Pools and Spas,maricopa,AZ
5056,4630.0,2016-09-21,B201606971,Issued,Residential Pools and Spas,maricopa,AZ
5057,4631.0,2016-09-21,B201606952,Terminate,Residential Pools and Spas,maricopa,AZ
5058,4632.0,2016-09-21,B201606946,Final,Residential Pools and Spas,maricopa,AZ
5059,4633.0,2016-09-21,B201606944,Final,Residential Pools and Spas,maricopa,AZ
