"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"11/25/2020","K202008945","Residential Pool",,"15004 REDWOOD PASS DR, BAKERSFIELD CA","Finaled",,
"11/24/2020","20TMP-011102","Residential Pool",,"1911 S GUAM ST, RIDGECREST CA",,,
"11/21/2020","20TMP-011014","Residential Pool",,"14943 N championship WY, bakersfield CA 93314-7201 United States",,,
"11/21/2020","K202008836","Residential Pool",,"14943 CHAMPIONSHIP WY, BAKERSFIELD CA","Issued",,
"11/17/2020","K202008718","Residential Pool",,"9615 VAL DI CHIANA DR, BAKERSFIELD CA","Finaled",,
"11/13/2020","K202008607","Residential Pool",,"14232 EDENDERRY AV, BAKERSFIELD CA","Finaled",,
"11/10/2020","K202008523","Residential Pool",,"15120 JUNEBERRY CT, BAKERSFIELD CA","Finaled",,
"11/05/2020","K202008420","Residential Pool",,"2018 HOWARD ST, ROSAMOND CA United States","Issued",,
"11/05/2020","K202008375","Residential Pool",,"909 TWENTYONE CANYON RD, TAFT CA","Finaled",,
"11/03/2020","K202008307","Residential Pool",,"6320 CLINTON WY, SQUIRREL MOUNTAIN VALLEY CA","Finaled",,
"11/03/2020","K202008295","Residential Pool",,"421 PRICE ST, BAKERSFIELD CA","Finaled",,
"11/03/2020","K202008283","Residential Pool",,"14410 ROUND MOUNTAIN RD, KERN COUNTY CA","Finaled",,
"11/03/2020","K202008264","Residential Pool",,"14750 STARTHISTLE CT, BAKERSFIELD CA","Finaled",,
"11/02/2020","K202008241","Residential Pool",,"4290 COUNTRY CLUB DR, BAKERSFIELD CA","Finaled",,
"10/27/2020","K202008090","Residential Pool",,"22740 FAST CT, BAKERSFIELD CA","Finaled",,
"10/27/2020","K202008089","Residential Pool",,"2104 GREENWOOD DR, BAKERSFIELD CA","Finaled",,
"10/26/2020","K202007966","Residential Pool",,"7307 FOUNTAIN VALLEY DR, BAKERSFIELD CA","Issued",,
"10/22/2020","K202007904","Residential Pool","AMERICAN POOL AND SPA","14718 BLUE STREAM AV, BAKERSFIELD CA","Finaled",,
"10/21/2020","K202007864","Residential Pool",,"14314 DANBUR DR, BAKERSFIELD CA","Issued",,
"10/21/2020","K202007853","Residential Pool",,"3327 WHISPER SANDS AV, ROSAMOND CA","Issued",,
"10/20/2020","K202007825","Residential Pool",,"9200 RANCHO VIEJO DR, BAKERSFIELD CA","Canceled",,
"10/15/2020","K202007674","Residential Pool",,"1801 COUNTRY CLUB DR, BAKERSFIELD CA","Finaled",,
"10/14/2020","K202007676","Residential Pool",,"15428 AMORE PL, BAKERSFIELD CA","Finaled",,
